Date,Open,High,Low,Close
12/31/2020,"59,634.93","59,634.93","58,994.51","59,408.68"
12/30/2020,"59,874.73","60,055.13","59,317.16","59,634.93"
12/29/2020,"58,889.02","59,681.53","58,745.51","59,246.40"
12/28/2020,"58,955.67","59,243.61","58,535.21","59,006.07"
12/25/2020,"59,175.80","59,175.80","59,175.80","59,175.80"
12/24/2020,"58,986.72","59,175.80","58,764.16","59,175.80"
12/23/2020,"58,584.76","59,047.41","58,466.80","58,986.72"
12/22/2020,"58,572.28","58,763.40","58,349.72","58,619.75"
12/21/2020,"59,657.52","59,758.20","58,142.43","58,714.87"
12/18/2020,"60,339.54","60,339.54","59,788.12","59,788.12"
12/17/2020,"59,883.89","60,591.92","59,883.89","60,544.30"
12/16/2020,"59,478.26","59,478.26","59,478.26","59,478.26"
12/15/2020,"59,508.80","59,577.78","59,059.25","59,478.26"
12/14/2020,"59,191.11","59,648.89","59,191.11","59,508.80"
12/11/2020,"59,161.59","59,424.07","58,908.64","59,412.61"
12/10/2020,"59,206.38","59,303.94","58,875.49","59,282.77"
12/09/2020,"59,045.58","59,669.66","59,045.58","59,291.75"
12/08/2020,"59,468.03","59,607.85","58,976.12","59,159.36"
12/07/2020,"59,422.78","59,527.70","58,999.00","59,527.70"
12/04/2020,"59,319.74","59,468.12","59,111.73","59,419.37"
12/03/2020,"58,747.53","59,147.23","58,595.86","58,947.48"
12/02/2020,"57,710.96","58,281.98","57,618.14","58,281.98"
12/01/2020,"57,329.86","57,712.36","57,203.04","57,509.72"
11/30/2020,"57,518.11","57,518.11","56,809.35","57,091.89"
11/27/2020,"57,848.96","58,128.81","57,662.31","57,822.50"
11/26/2020,"57,943.64","58,097.44","57,741.41","57,923.69"
11/25/2020,"57,747.68","57,862.70","57,522.84","57,742.19"
11/24/2020,"57,289.26","57,885.46","57,289.26","57,761.92"
11/23/2020,"56,805.28","57,435.85","56,805.28","57,147.31"
11/20/2020,"56,949.73","56,949.73","56,459.10","56,615.28"
11/19/2020,"56,932.34","57,160.52","56,591.20","56,753.49"
11/18/2020,"57,048.84","57,522.38","56,686.70","57,323.67"
11/17/2020,"57,109.89","57,505.45","56,994.48","57,053.01"
11/16/2020,"57,557.52","57,585.77","57,159.58","57,267.00"
11/13/2020,"56,953.16","57,209.65","56,745.58","57,182.60"
11/12/2020,"57,956.04","57,956.04","56,934.90","57,031.19"
11/11/2020,"57,537.61","57,843.76","57,374.69","57,607.30"
11/10/2020,"56,961.35","57,741.73","56,671.02","57,672.12"
11/09/2020,"56,873.46","57,952.01","56,843.02","57,307.49"
11/06/2020,"55,093.83","56,564.22","54,933.36","56,387.04"
11/05/2020,"54,383.62","55,239.01","53,910.63","55,225.24"
11/04/2020,"53,527.37","53,975.53","52,811.67","53,656.21"
11/03/2020,"52,795.96","53,597.20","52,795.96","53,187.81"
11/02/2020,"51,867.07","52,695.06","51,793.24","52,618.04"
10/30/2020,"51,916.44","52,028.79","51,225.53","51,684.70"
10/29/2020,"52,853.72","52,853.72","51,420.95","51,896.97"
10/28/2020,"54,333.40","54,333.40","52,273.21","52,308.14"
10/27/2020,"55,059.95","55,059.95","53,986.37","54,079.43"
10/26/2020,"55,150.38","55,283.11","54,819.71","54,890.88"
10/23/2020,"54,937.89","55,523.73","54,903.31","55,339.58"
10/22/2020,"55,121.42","55,145.78","54,731.14","54,796.42"
10/21/2020,"55,318.92","55,481.96","54,936.33","55,345.49"
10/20/2020,"54,997.38","55,328.03","54,838.83","55,271.75"
10/19/2020,"55,203.84","55,404.80","55,013.02","55,161.03"
10/16/2020,"55,118.44","55,206.72","54,925.76","55,047.26"
10/15/2020,"54,769.56","54,905.40","54,359.64","54,843.96"
10/14/2020,"55,259.79","55,470.73","55,081.29","55,394.23"
10/13/2020,"55,576.43","55,599.32","54,992.08","55,054.53"
10/12/2020,"55,451.68","55,767.18","55,367.78","55,552.35"
10/09/2020,"54,764.71","55,182.99","54,725.03","55,182.99"
10/08/2020,"54,771.13","54,870.69","54,447.24","54,554.85"
10/07/2020,"54,354.82","54,749.77","54,032.10","54,749.77"
10/06/2020,"54,882.42","54,882.42","54,183.92","54,203.83"
10/05/2020,"54,467.63","54,698.86","54,239.77","54,524.05"
10/02/2020,"54,040.41","54,297.30","53,782.18","54,219.24"
10/01/2020,"54,394.49","54,815.95","54,171.95","54,446.78"
09/30/2020,"54,430.57","54,683.03","54,140.34","54,264.96"
09/29/2020,"54,603.12","54,734.93","54,352.33","54,506.88"
09/28/2020,"53,628.45","54,916.35","53,628.45","54,718.80"
09/25/2020,"53,861.60","53,861.60","52,963.60","53,587.11"
09/24/2020,"54,247.81","54,247.81","54,247.81","54,247.81"
09/23/2020,"53,265.33","54,641.54","53,213.12","54,247.81"
09/22/2020,"53,430.67","53,578.84","53,059.14","53,265.33"
09/21/2020,"54,358.64","54,358.64","53,053.61","53,319.08"
09/18/2020,"55,138.46","55,266.63","54,598.80","54,673.65"
09/17/2020,"55,253.33","55,266.34","54,785.09","55,035.60"
09/16/2020,"56,130.62","56,245.43","55,833.03","55,960.74"
09/15/2020,"56,693.96","56,722.80","56,014.07","56,130.78"
09/14/2020,"56,536.86","56,658.96","56,034.47","56,327.05"
09/11/2020,"55,838.19","56,276.95","55,780.46","56,087.84"
09/10/2020,"55,271.52","56,327.40","55,051.16","55,953.96"
09/09/2020,"54,489.35","55,211.34","54,489.35","55,211.34"
09/08/2020,"54,369.94","54,692.20","54,111.56","54,438.82"
09/07/2020,"53,906.39","54,512.62","53,906.39","54,400.28"
09/04/2020,"54,170.04","54,596.11","53,684.89","53,878.95"
