Date,Open,High,Low,Close
09/03/2020,"55,679.72","55,683.07","54,491.44","54,522.35"
09/02/2020,"56,221.06","56,441.67","55,712.29","55,861.88"
09/01/2020,"56,146.88","56,478.49","55,738.68","55,927.69"
08/31/2020,"56,292.70","56,515.39","55,308.85","55,476.11"
08/28/2020,"56,838.41","56,926.13","55,820.96","56,057.10"
08/27/2020,"56,976.09","57,368.38","56,751.87","56,869.67"
08/26/2020,"56,161.62","56,628.18","55,853.36","56,572.24"
08/25/2020,"56,619.12","56,853.20","56,052.67","56,114.23"
08/24/2020,"56,291.90","57,046.20","56,291.90","56,625.42"
08/21/2020,"56,142.63","56,416.52","55,432.08","55,949.92"
08/20/2020,"55,893.58","55,958.07","55,267.40","55,629.98"
08/19/2020,"56,769.39","57,005.12","56,387.23","56,433.28"
08/18/2020,"57,593.92","57,664.24","56,891.72","57,025.16"
08/17/2020,"57,397.88","57,674.14","57,008.54","57,435.08"
08/14/2020,"57,342.19","57,346.76","56,923.80","57,077.48"
08/13/2020,"57,101.15","57,459.50","56,814.97","57,419.46"
08/12/2020,"57,045.56","57,610.21","56,862.28","57,417.28"
08/11/2020,"56,941.85","57,676.49","56,941.85","57,168.24"
08/07/2020,"57,654.38","57,654.38","56,539.47","56,757.73"
08/06/2020,"57,755.26","58,092.12","57,586.00","57,656.69"
08/05/2020,"56,882.24","57,797.79","56,882.24","57,629.36"
08/04/2020,"56,110.63","56,368.28","55,999.83","56,248.93"
08/03/2020,"55,961.73","56,314.24","55,420.12","55,829.40"
07/31/2020,"56,124.80","56,655.90","55,662.97","55,721.80"
07/30/2020,"56,884.57","57,068.43","55,720.78","55,844.90"
07/29/2020,"56,312.66","56,829.51","56,312.66","56,707.74"
07/28/2020,"56,471.91","56,495.34","55,973.39","56,488.11"
07/27/2020,"55,850.51","56,425.88","55,725.24","56,326.20"
07/24/2020,"55,310.65","55,822.08","55,300.11","55,645.65"
07/23/2020,"56,269.49","56,446.87","56,009.20","56,070.70"
07/22/2020,"56,349.82","56,488.50","55,547.79","55,834.24"
07/21/2020,"57,096.21","57,415.26","56,361.79","56,422.14"
07/20/2020,"55,945.29","56,455.44","55,731.92","56,265.36"
07/17/2020,"55,899.54","55,951.13","55,637.86","55,911.80"
07/16/2020,"55,110.13","55,831.52","54,962.77","55,729.45"
07/15/2020,"55,891.66","56,421.68","55,867.56","55,947.05"
07/14/2020,"55,603.29","55,603.29","55,053.58","55,531.05"
07/13/2020,"55,691.52","56,283.92","55,691.52","56,199.46"
07/10/2020,"55,186.53","55,925.95","54,999.48","55,417.89"
07/09/2020,"56,220.45","56,515.82","55,787.90","55,787.90"
07/08/2020,"55,565.38","55,920.54","55,344.69","55,870.69"
07/07/2020,"54,951.03","55,292.34","54,606.84","55,243.80"
07/06/2020,"54,833.57","55,291.18","54,695.46","54,846.28"
07/03/2020,"54,628.43","54,925.35","54,403.66","54,521.90"
07/02/2020,"54,385.48","54,963.53","54,378.19","54,617.19"
07/01/2020,"54,306.86","54,568.06","53,572.97","53,787.72"
06/30/2020,"54,452.30","54,561.41","54,048.11","54,362.36"
06/29/2020,"53,668.78","54,240.75","53,335.35","54,141.50"
06/26/2020,"54,299.16","54,375.14","53,632.34","53,648.05"
06/25/2020,"54,150.09","54,347.06","53,650.31","53,914.05"
06/24/2020,"55,473.66","55,635.95","54,275.34","54,447.73"
06/23/2020,"54,977.02","55,627.06","54,977.02","55,474.93"
06/22/2020,"54,167.96","54,678.70","54,063.30","54,230.17"
06/19/2020,"54,418.50","54,651.87","54,136.44","54,224.40"
06/18/2020,"53,926.41","54,315.71","53,495.12","53,941.22"
06/17/2020,"53,456.47","54,040.12","53,456.47","54,027.42"
06/16/2020,"52,270.20","52,270.20","52,270.20","52,270.20"
06/15/2020,"53,639.64","53,639.64","51,965.95","52,270.20"
06/12/2020,"52,273.76","53,734.00","52,190.35","53,639.64"
06/11/2020,"53,226.08","53,548.38","52,398.37","53,295.30"
06/10/2020,"54,668.47","54,823.38","53,508.95","53,672.63"
06/09/2020,"54,798.69","54,898.20","54,078.01","54,483.48"
06/08/2020,"54,453.31","54,912.52","54,293.62","54,684.32"
06/05/2020,"53,386.34","54,909.73","53,386.34","54,722.38"
06/04/2020,"53,551.03","53,673.14","53,040.97","53,204.79"
06/03/2020,"52,808.02","53,645.28","52,779.41","53,645.28"
06/02/2020,"51,446.17","52,715.78","51,446.17","52,496.86"
06/01/2020,"51,595.58","51,766.81","50,760.69","50,929.59"
05/29/2020,"51,031.51","51,318.09","50,399.23","50,483.00"
05/28/2020,"50,580.18","51,389.12","50,447.41","51,389.12"
05/27/2020,"50,564.90","50,935.83","50,307.17","50,495.95"
05/26/2020,"50,530.08","50,819.38","50,359.88","50,602.50"
05/25/2020,"50,356.60","50,356.60","49,814.10","50,074.21"
05/22/2020,"49,973.10","50,304.24","49,530.83","50,147.21"
05/21/2020,"51,604.76","52,067.14","51,022.76","51,022.76"
05/20/2020,"51,981.38","52,231.57","51,770.20","52,142.75"
05/19/2020,"51,738.60","52,056.31","51,566.92","51,950.14"
05/18/2020,"50,134.04","51,382.06","50,134.04","51,382.06"
05/15/2020,"49,496.78","50,050.63","49,421.82","49,628.72"
05/14/2020,"49,261.10","49,552.24","48,804.95","49,113.06"
05/13/2020,"50,071.14","50,690.00","49,326.66","50,152.05"
05/12/2020,"50,285.02","50,795.46","50,204.95","50,319.41"
05/11/2020,"51,043.89","51,292.52","50,142.21","50,202.85"
05/08/2020,"50,568.50","51,126.49","50,498.83","51,003.58"
05/07/2020,"49,733.18","50,261.07","49,596.41","50,019.70"
05/06/2020,"49,394.61","49,892.30","48,914.45","49,831.99"
05/05/2020,"49,442.58","49,775.41","48,969.73","49,184.16"
05/04/2020,"49,191.47","49,305.50","48,366.49","49,186.59"
05/01/2020,"50,336.72","51,227.88","50,068.16","50,336.72"
04/30/2020,"50,857.25","51,227.88","50,068.16","50,336.72"
04/29/2020,"50,193.11","50,857.25","49,976.52","50,857.25"
04/28/2020,"49,934.44","50,349.11","49,494.30","50,029.22"
04/24/2020,"49,230.74","49,653.05","48,900.00","49,527.23"
04/23/2020,"48,460.60","49,682.57","48,460.60","49,601.82"
04/22/2020,"47,954.00","48,216.67","47,596.34","48,108.49"
04/21/2020,"48,323.35","48,399.50","47,264.12","47,628.87"
04/20/2020,"49,334.14","49,343.42","48,255.05","48,849.52"
04/17/2020,"49,350.41","49,804.66","48,908.46","49,134.65"
04/16/2020,"48,718.68","48,991.08","48,215.08","48,245.11"
04/15/2020,"49,690.47","49,690.47","47,977.96","48,301.28"
04/14/2020,"48,813.39","49,941.19","48,392.69","49,874.51"
04/13/2020,"48,011.56","48,016.30","46,583.14","48,011.56"
04/09/2020,"47,469.42","48,016.30","46,583.14","48,011.56"
04/08/2020,"47,331.14","47,331.14","46,376.33","46,689.90"
04/07/2020,"46,780.34","48,318.96","46,780.34","47,496.72"
04/06/2020,"45,793.91","46,562.34","45,390.81","46,240.35"
04/03/2020,"44,798.53","44,907.87","44,142.39","44,598.70"
04/02/2020,"44,076.24","45,370.92","44,076.24","45,060.69"
04/01/2020,"43,836.82","44,027.53","42,947.12","43,732.44"
03/31/2020,"43,827.69","44,572.29","43,681.26","44,490.31"
03/30/2020,"43,376.21","43,989.92","42,714.20","43,413.63"
03/27/2020,"44,877.91","44,967.54","42,644.66","42,946.83"
03/26/2020,"43,307.19","45,391.38","43,044.95","45,046.35"
03/25/2020,"42,073.75","44,206.33","42,073.75","43,278.25"
03/24/2020,"38,914.50","41,168.39","38,914.50","41,149.35"
03/23/2020,"39,157.94","39,157.94","37,461.68","38,267.21"
03/20/2020,"39,021.90","41,195.52","39,021.90","40,272.00"
03/19/2020,"38,838.12","39,145.18","37,177.92","37,963.01"
03/18/2020,"40,608.87","40,608.87","38,145.51","38,604.88"
03/17/2020,"41,210.79","41,932.24","40,390.38","41,579.58"
03/16/2020,"43,478.75","43,478.75","38,784.34","40,500.23"
03/13/2020,"45,001.17","45,864.16","44,069.10","44,177.63"
03/12/2020,"47,569.83","47,569.83","44,078.60","44,303.47"
03/11/2020,"49,116.90","50,079.01","48,936.28","49,074.09"
03/10/2020,"49,806.79","50,533.83","49,335.97","49,466.01"
03/09/2020,"50,500.67","50,500.67","48,588.67","48,819.55"
03/06/2020,"52,063.84","52,297.42","51,506.05","52,064.72"
03/05/2020,"53,594.79","53,733.79","52,677.14","52,936.27"
03/04/2020,"52,957.85","53,380.81","52,726.05","52,926.75"
03/03/2020,"52,510.34","53,379.42","52,510.34","52,957.85"
03/02/2020,"52,231.98","52,989.69","51,314.89","51,840.09"
02/28/2020,"52,021.01","52,333.76","50,875.08","51,038.18"
02/27/2020,"54,432.16","54,831.73","53,420.58","53,444.83"
02/26/2020,"54,127.05","55,254.92","53,643.21","55,047.20"
02/25/2020,"55,287.78","55,496.51","54,697.96","54,809.51"
02/24/2020,"56,666.33","56,666.33","54,725.19","54,881.56"
02/21/2020,"57,341.85","57,358.13","56,878.16","57,336.21"
02/20/2020,"58,126.87","58,270.49","57,739.20","57,793.03"
02/19/2020,"57,795.34","58,017.50","57,795.34","57,940.97"
02/18/2020,"57,842.10","57,878.51","57,483.61","57,714.66"
02/17/2020,"58,005.42","58,270.72","57,889.61","58,187.96"
02/14/2020,"57,896.59","57,992.30","57,590.01","57,861.76"
02/13/2020,"57,887.44","58,195.12","57,583.81","57,835.69"
02/12/2020,"57,142.91","57,964.56","56,885.58","57,744.13"
02/11/2020,"57,062.46","57,323.73","56,753.77","56,981.20"
02/10/2020,"57,096.95","57,136.42","56,793.69","56,847.74"
02/07/2020,"57,438.34","57,661.96","57,065.26","57,276.49"
02/06/2020,"57,608.34","57,848.74","57,452.07","57,531.49"
02/05/2020,"56,827.61","57,532.53","56,799.09","57,426.20"
02/04/2020,"56,350.35","56,893.23","56,299.92","56,817.03"
02/03/2020,"56,097.74","56,195.65","55,772.41","55,828.49"
01/31/2020,"56,503.60","56,555.31","55,932.89","56,079.54"
01/30/2020,"55,979.35","56,618.28","55,656.57","56,590.93"
01/29/2020,"56,014.78","56,637.55","55,989.53","56,370.72"
01/28/2020,"55,874.93","56,076.08","55,529.33","55,748.24"
01/27/2020,"56,545.16","56,545.16","55,772.87","55,902.94"
01/24/2020,"57,060.85","57,350.51","57,035.31","57,261.04"
01/23/2020,"57,651.79","57,651.79","56,867.91","56,894.67"
01/22/2020,"58,164.96","58,399.67","57,897.75","57,918.89"
01/21/2020,"58,512.47","58,512.47","57,633.44","57,976.39"
01/20/2020,"59,025.17","59,104.61","58,809.06","58,850.41"
01/17/2020,"58,232.72","59,098.56","58,231.40","59,001.87"
01/16/2020,"58,233.07","58,328.90","57,897.94","58,217.43"
01/15/2020,"57,921.93","58,243.29","57,724.33","58,063.59"
01/14/2020,"57,638.66","57,967.13","57,596.98","57,967.13"
01/13/2020,"57,664.96","57,808.70","57,367.06","57,572.72"
01/10/2020,"57,301.46","57,514.58","57,232.64","57,484.84"
01/09/2020,"57,488.65","57,737.93","57,026.21","57,128.68"
01/08/2020,"57,411.77","57,411.77","57,083.30","57,322.33"
01/07/2020,"57,381.63","57,514.58","56,939.81","57,384.41"
01/06/2020,"57,685.74","57,685.74","57,001.91","57,195.35"
01/03/2020,"57,628.29","57,924.20","57,419.75","57,810.00"
01/02/2020,"57,308.67","57,932.18","57,308.67","57,718.00"
12/31/2019,"57,703.56","57,703.56","57,084.10","57,084.10"
